"LHS","RHS","count","support","confidence","lift","oddsRatio","chi.sq","chi.sq.p","OR_lowerCI","OR_upperCI","fisher.p","fisher.padj_holm","Cat"
"cBMI=HW","loc1=No",93,0.588607594936709,0.808695652173913,1.05598275242544,2.26461038961039,4.33090454684351,0.0374263515064351,1.03755744383835,4.94282051291449,0.0330103249119324,1,"cBMI=HW"
"cebq14_lsSometimes","loc1=No",71,0.449367088607595,0.835294117647059,1.09071463296062,2.33285714285714,4.9509836739197,0.0260758278827743,1.09477141798934,4.97110388484092,0.0208086392058761,1,"lsS_FR"
"cebq14=Rarely","loc1=No",53,0.335443037974684,0.854838709677419,1.11623567048787,2.42483660130719,4.50858269626598,0.0337251750841177,1.0547301621318,5.57472683928446,0.0249529316765249,1,"lsFR"
"cebq19_lsSometimes","loc1=No",74,0.468354430379747,0.822222222222222,1.07364554637282,2.06648936170213,3.70908944919639,0.0541169055792644,0.979943142993944,4.35778168617121,0.0416761728314685,1,"lsS_FR"
"cebq19=Rarely","loc1=No",50,0.316455696202532,0.847457627118644,1.10659756268385,2.19092331768388,3.49906572262643,0.0614034602931728,0.951863502001143,5.04289215195182,0.0447442623777236,1,"lsFR"
"cebq26_gRarely","loc1=No",83,0.525316455696203,0.821782178217822,1.07307094345798,2.30555555555555,4.88851194701778,0.0270359788294145,1.08871114475627,4.88245798286844,0.0229890264170877,1,"gR_SR"
"cebq27=Rarely","loc1=No",37,0.234177215189873,0.880952380952381,1.15033451397088,2.81904761904761,4.22814069209052,0.0397589725331807,1.01776640901339,7.80830395666311,0.0285560578097038,1,"lsEOE"
"cebq30_gRarely","loc1=No",76,0.481012658227848,0.835164835164835,1.09054581781855,2.47703703703704,5.75365893412027,0.0164543509046308,1.16684955395091,5.2583578252037,0.013883950427679,1,"gR_SR"
"cebq34_lsSometimes","loc1=No",102,0.645569620253165,0.829268292682927,1.08284620036283,4.09022556390977,12.4630113339648,0.000415090211243524,1.81198382412186,9.23294399262581,0.000772389461777914,0.0826,"lsS_FR"
"cebq34=Rarely","loc1=No",61,0.386075949367089,0.847222222222222,1.10629017447199,2.4030303030303,4.88721019693536,0.0270563723740974,1.09067601985782,5.29447290684423,0.0206434455397744,1,"lsFR"
"cebq7=Sometimes","loc1=No",52,0.329113924050633,0.88135593220339,1.1508614651912,3.22981366459627,7.00832434772763,0.00811315798586085,1.3157719732649,7.92819464160496,0.00581108212588363,0.616,"sFF"
"cebq8_gRarely","loc1=No",94,0.594936708860759,0.803418803418803,1.04909232181959,2.11916264090177,3.55361098154889,0.0594160168457862,0.961481495818552,4.67076102673251,0.0498979952436397,1,"gR_SE"
"cebq8=Sometimes","loc1=No",61,0.386075949367089,0.835616438356164,1.09113551454772,2.11805555555556,3.6856998713273,0.0548809345952396,0.975685386177242,4.59795688238873,0.0408012577061107,1,"sSE"
