"","LHS2","LHS1","RHS","lift","support","confidence","coverage","count","oddsRatio","addVal","fisher.padj_holm","OR_lowerCI","kappa","fisher.p","Cluster_gupta4","Cat1","Cat2"
"1","cebq10_gSometimesRev","cebq1_gSometimes","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"gS_EF","gS_FF"
"2","cebq10_lsSometimesRev","cebq1_gSometimes","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"gS_EF","lsS_FF"
"3","cebq12_gRarely","cfq26=Disagree","loc1=Yes",2.13513513513514,0.10126582278481,0.5,0.20253164556962,16,5,0.265822784810127,0.0051,2.1661366487229,0.314975392547457,0.000189227257523103,2,"lsPE","gR_FR"
"4","cebq14_gRarely","cebq7_gSometimes","loc1=Yes",2.22054054054054,0.0822784810126582,0.52,0.158227848101266,13,4.92013888888889,0.285822784810127,0.0091,1.9993221066728,0.284168134910647,0.000632807905807952,4,"gS_FF","gR_FR"
"5","cebq14_gRarely","cfq26=Disagree","loc1=Yes",2.25375375375375,0.120253164556962,0.527777777777778,0.227848101265823,19,6.45751633986928,0.293600562587904,4e-04,2.83351360656826,0.376550169109357,9.02117978147143e-06,2,"lsPE","gR_FR"
"6","cebq19_gRarely","cfq26=Disagree","loc1=Yes",2.2993762993763,0.132911392405063,0.538461538461538,0.246835443037975,21,7.51041666666667,0.304284323271665,1e-04,3.30509949725368,0.411094058320544,1.15020392810837e-06,1,"lsPE","gR_FR"
"7","cebq26_lsSometimes","cebq19_gRarely","loc1=Yes",2.44015444015444,0.10126582278481,0.571428571428571,0.177215189873418,16,6.92063492063492,0.337251356238698,8e-04,2.8640355197325,0.36399121737009,1.84531103905158e-05,2,"gR_FR","lsS_SR"
"8","cebq26_lsSometimes","cfq26=Disagree","loc1=Yes",2.1998361998362,0.107594936708861,0.515151515151515,0.208860759493671,17,5.578125,0.280974299961642,0.002,2.42380875505996,0.339986075655605,5.99429842671028e-05,2,"lsPE","lsS_SR"
"9","cebq26_lsSometimes","cebq12_gRarely","loc1=Yes",2.64350064350064,0.0822784810126582,0.619047619047619,0.132911392405063,13,7.65104166666667,0.384870403857746,0.0017,2.8578579617297,0.335611038107753,5.01596078946168e-05,2,"gR_FR","lsS_SR"
"10","cebq27_gRarely","cfq26=Disagree","loc1=Yes",2.18721160184575,0.132911392405063,0.51219512195122,0.259493670886076,21,6.628125,0.278017906761346,2e-04,2.95395701019359,0.38772874058127,3.78312297266408e-06,1,"lsPE","gR_EOE"
"11","cebq27_gRarely","cfq27=Disagree","loc1=Yes",2.31306306306306,0.0822784810126582,0.541666666666667,0.151898734177215,13,5.41666666666667,0.307489451476793,0.0072,2.16649447421484,0.296616636988044,0.000362929526700237,3,"lsPE","gR_EOE"
"12","cebq27_gSometimes","cfq26=Disagree","loc1=Yes",2.77567567567568,0.0822784810126582,0.65,0.126582278481013,13,8.82142857142857,0.415822784810127,9e-04,3.18459570994485,0.349189476481531,2.27382224906596e-05,2,"lsPE","gS_EOE"
"13","cebq30_lsSometimes","cebq12_gRarely","loc1=Yes",2.13513513513514,0.0822784810126582,0.5,0.164556962025316,13,4.5,0.265822784810127,0.0091,1.85362487555221,0.271980074719801,0.00105815121585337,4,"gR_FR","lsS_SR"
"14","cebq30_lsSometimes","cebq19_gRarely","loc1=Yes",2.13513513513514,0.0949367088607595,0.5,0.189873417721519,15,4.81818181818182,0.265822784810127,0.0072,2.05866895224429,0.301219220655032,0.000342776027812484,3,"gR_FR","lsS_SR"
"15","cebq30_lsSometimes","cebq14_gRarely","loc1=Yes",2.13513513513514,0.10126582278481,0.5,0.20253164556962,16,5,0.265822784810127,0.0051,2.1661366487229,0.314975392547457,0.000189227257523103,4,"gR_FR","lsS_SR"
"16","cebq33_gSometimes","BreastFed_ls7mo","loc1=Yes",2.37237237237237,0.0949367088607595,0.555555555555556,0.170886075949367,15,6.19318181818182,0.321378340365682,0.002,2.55186617067343,0.337934434311067,6.38421793835645e-05,3,"BreastFed_ls7mo","gS_FF"
"17","cebq33_gSometimes","cebq1_gSometimes","loc1=Yes",2.44015444015444,0.10126582278481,0.571428571428571,0.177215189873418,16,6.92063492063492,0.337251356238698,8e-04,2.8640355197325,0.36399121737009,1.84531103905158e-05,2,"gS_EF","gS_FF"
"18","cebq33_gSometimes","cfq28=Disagree","loc1=Yes",3.08408408408408,0.0822784810126582,0.722222222222222,0.113924050632911,13,12.5666666666667,0.488045007032349,2e-04,4.0954742352893,0.377276433813536,3.54781027887082e-06,1,"lsPE","gS_FF"
"19","cebq33_gSometimes","cebq14_gRarely","loc1=Yes",2.22054054054054,0.0822784810126582,0.52,0.158227848101266,13,4.92013888888889,0.285822784810127,0.0091,1.9993221066728,0.284168134910647,0.000632807905807952,4,"gR_FR","gS_FF"
"20","cebq33_gSometimes","cebq22_gSometimes","loc1=Yes",2.41363102232667,0.0822784810126582,0.565217391304348,0.145569620253165,13,6.0125,0.331040176114474,0.0051,2.36027311535617,0.309334019028028,0.000198549059425536,3,"gS_EF","gS_FF"
