LHS_label,Cat
sex=Female,Female
sex=Male,Male
cAge_7.8yr,cAge_7.8yr
cAge_7.9yr,cAge_7.9yr
cAge_8.9yr,cAge_8.9yr
cAge_8.10yr,cAge_8.10yr
cAge_9.10yr,cAge_9.10yr
cAge_9.12yr,cAge_9.12yr
cAge_10.11yr,cAge_10.11yr
cAge_10.12yr,cAge_10.12yr
cAge_11.12yr,cAge_11.12yr
cBMI=HW,cBMI=HW
cBMI=OB,cBMI=OB
cBMI=OW,cBMI=OW
cBMI=UW,cBMI=UW
cBMI_OWOB,cBMI_OWOB
BirthW2L_p_g90,BirthW2L_p_g90
BirthW2L_p_g75,BirthW2L_p_g75
BirthW2L_p_ls25,BirthW2L_p_ls25
BirthW2L_p_ls10,BirthW2L_p_ls10
dBMI=HealthyWeight,dBMI=HealthyWeight
dBMI=Obese1,dBMI=Obese1
dBMI=Obese2,dBMI=Obese2
dBMI=Obese3,dBMI=Obese3
dBMI=Overweight,dBMI=Overweight
dBMI_OB2.3,dBMI_OB2.3
dBMI_OB1.3,dBMI_OB1.3
dBMI_OBOW,dBMI_OBOW
mBMI=HealthyWeight,mBMI=HealthyWeight
mBMI=Obese1,mBMI=Obese1
mBMI=Obese2,mBMI=Obese2
mBMI=Obese3,mBMI=Obese3
mBMI=Overweight,mBMI=Overweight
mBMI=Underweight,mBMI=Underweight
mBMI_OB2.3,mBMI_OB2.3
mBMI_OB1.3,mBMI_OB1.3
mBMI_OBOW,mBMI_OBOW
BreastFed_least10mo,BreastFed_least10mo
BreastFed_least7mo,BreastFed_least7mo
BreastFed_least4mo,BreastFed_least4mo
BreastFed_ls10mo,BreastFed_ls10mo
BreastFed_ls7mo,BreastFed_ls7mo
BreastFed_ls4mo,BreastFed_ls4mo
income_g75K,income_g75K
income_g50K,income_g50K
income_ls50K,income_ls50K
income_ls35K,income_ls35K
mEducation_gBS,mEducation_gBS
mEducation_gAssoc,mEducation_gAssoc
mEducation_gHS,mEducation_gHS
mEducation_HS,mEducation_HS
dEducation_gBS,dEducation_gBS
dEducation_gAssoc,dEducation_gAssoc
dEducation_gHS,dEducation_gHS
dEducation_HS,dEducation_HS
dEducation_lsHS,dEducation_lsHS
EatOut_g1wk,EatOut_g1wk
EatOut_g2wk,EatOut_g2wk
EatOut_1.4mo,EatOut_1.4mo
EatFamily_g1wk,EatFamily_g1wk
EatFamily_g2wk,EatFamily_g2wk
EatFamily_1.4mo,EatFamily_1.4mo
loc1=No,loc1=No
loc1=Yes,loc1=Yes
cebq1=Always,gEF
cebq1=Often,gEF
cebq1=Rarely,lsEF
cebq1=Sometimes,sEF
cebq2=Never,lsEOE
cebq2=Often,gEOE
cebq2=Rarely,lsEOE
cebq2=Sometimes,sEOE
cebq3=Always,gSR
cebq3=Never,lsSR
cebq3=Often,gSR
cebq3=Rarely,lsSR
cebq3=Sometimes,sSR
cebq4=Always,gSE
cebq4=Never,lsSE
cebq4=Often,gSE
cebq4=Rarely,lsSE
cebq4=Sometimes,sSE
cebq5=Always,gEF
cebq5=Never,lsEF
cebq5=Often,gEF
cebq5=Rarely,lsEF
cebq5=Sometimes,sEF
cebq6=Always,gDD
cebq6=Never,lsDD
cebq6=Often,gDD
cebq6=Rarely,lsDD
cebq6=Sometimes,sDD
cebq7=Always,gFF
cebq7=Never,lsFF
cebq7=Often,gFF
cebq7=Rarely,lsFF
cebq7=Sometimes,sFF
cebq8=Always,gSE
cebq8=Never,lsSE
cebq8=Often,gSE
cebq8=Rarely,lsSE
cebq8=Sometimes,sSE
cebq9=Always,gEUE
cebq9=Never,lsEUE
cebq9=Often,gEUE
cebq9=Rarely,lsEUE
cebq9=Sometimes,sEUE
cebq10=Always,gFF
cebq10=Never,lsFF
